호선명,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2호선,방배,25,0,3621,3389,11681,15516,30008,28796,41761,79671,31782,59651,24318,38909,25965,29438,28191,30535,31274,30931,32945,30621,37365,28947,44886,30993,50689,37232,77668,45179,39462,37543,29178,24816,30154,23428,24360,25397,11340,15698,2128,4818,25,68,6,54,4,29
2호선,사당,103,5,14986,4320,27477,35023,72843,56888,99052,83165,71640,65241,50726,51969,48967,63619,56165,63254,63627,61550,68031,60411,65889,68565,67891,86959,77012,122585,97642,183150,77701,148537,73903,87883,83365,80923,81655,84568,48087,57187,8283,18094,137,1093,95,306,8,161
2호선,낙성대,103,0,13065,2483,28994,12631,92887,24485,134023,47953,85027,39462,47122,30711,41342,26952,45006,31772,44752,34333,40291,35726,43305,39888,46290,46340,51825,57612,62314,92768,39522,93969,29965,63702,27772,62234,23063,64862,13355,45862,2095,13619,39,356,12,143,4,117
2호선,서울대입구(관악구청),4462,16,32785,3331,50869,20191,139878,36369,195092,73205,127457,75065,77368,61152,71933,56699,74930,61658,81394,70397,75177,68693,80196,77296,88777,85686,97763,108664,109144,162552,72842,163735,61523,105735,60286,101206,55899,104918,31345,71939,4670,26732,97,5137,30,608,14,239
2호선,봉천,54,1,18595,3085,31208,12268,82042,15091,113519,28189,70532,25340,41018,22577,34994,23288,36987,24441,38339,27260,31748,29017,31410,36226,35370,41967,37890,53080,38056,76597,25097,71825,19756,46985,18098,45813,14018,45750,6237,29631,895,8425,18,298,8,36,0,72
2호선,신림,305,11,47514,5999,85930,25745,231778,39558,331650,67412,199388,59038,111845,53035,96702,61413,101449,66048,99618,75408,88509,82102,87569,97253,94789,118483,102982,152915,110449,246889,80159,257860,67891,165650,64719,162194,58901,165151,34212,116417,5380,35434,70,819,36,161,18,312
2호선,신대방,154,4,31163,2650,41135,13360,100966,20731,136893,37529,91523,27124,52829,23223,42579,23556,42818,25203,41293,29462,35873,32606,34482,42010,38034,48836,40602,65044,48667,91513,32335,89121,24032,62290,19032,66692,14225,71700,7129,44200,1152,12361,16,243,3,97,0,65
2호선,구로디지털단지,236,7,48323,7001,59098,23567,150505,73986,192100,257076,125722,156755,79367,63781,70829,54919,76401,56500,77865,67849,70705,73239,72766,76674,85912,86503,118614,117437,235959,167213,136854,155454,85024,102882,73466,105064,57439,109088,30249,70019,4553,19300,41,424,9,256,6,75
2호선,대림(구로구청),551,18,45517,4820,37104,14844,79033,26384,107302,67737,78626,45689,48578,37909,40613,39899,43549,38528,43444,40480,39114,40115,39685,47596,44321,54409,51459,77754,70816,88542,42423,73416,31752,52349,25724,64778,19350,66929,10013,35788,1446,9218,18,301,5,88,4,60
2호선,신도림,3457,27,44259,6765,59777,25146,150860,48487,153722,127227,102636,87662,73184,80112,72766,78606,83987,86901,90399,89175,88319,81628,93801,89914,102719,103764,113972,128433,155685,187723,104198,167899,88445,98458,93834,91502,77545,93132,33068,72899,4428,33128,54,4260,18,317,7,211
2호선,문래,13,0,4532,2555,14531,10828,45151,30941,47261,104549,28362,55581,22373,23247,22873,22471,24653,23683,26526,24427,25894,23913,27941,23442,29516,26224,41787,30669,88006,47249,41483,43078,25451,25184,24595,22583,20242,20888,9711,15059,1538,5023,15,142,6,43,1,15
2호선,영등포구청,58,0,7512,3175,15105,14473,43449,35757,47770,109744,33179,54133,25949,27840,26991,24939,28742,26705,29998,28350,29308,27742,31440,27969,35461,30769,45317,36178,97594,52827,41764,43491,30328,26535,27943,24420,23765,24123,10251,17379,1752,6248,17,271,4,134,1,77
2호선,당산,21,1,8222,4879,20363,16554,53134,34071,65542,84678,43640,42449,32123,23230,30011,22681,29473,25768,29629,28504,26102,27384,27011,30655,31666,36835,45517,46298,67911,72106,37767,62037,29857,40013,26206,40216,22185,39459,11826,27075,1774,7824,20,364,14,225,5,85
