호선명,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2호선,낙성대,90,1,11802,2566,28340,12160,93987,25710,136595,53133,91862,45486,49780,37616,43894,28068,47686,32592,48509,36591,42655,36713,46191,41537,49898,48527,54821,62537,65469,99223,40384,103899,30608,67279,30059,64928,24907,67668,14465,46798,2584,13322,11,513,0,0,0,0
2호선,서울대입구(관악구청),4141,34,30413,3039,46857,18712,147368,38058,198780,85035,137737,88862,82639,73209,75502,58601,81134,65681,90585,74276,80783,73283,86445,80173,94827,91713,109624,117301,120444,177288,81407,179798,66744,110349,69864,105340,65048,108648,35039,73104,5664,24324,11,2853,0,0,0,0
2호선,봉천,113,5,16116,2206,29998,12879,88095,16019,123957,29182,78745,25450,45085,23911,37007,25575,41283,26771,41810,29817,35431,32082,34416,39714,39071,45382,39859,57870,41285,83016,26577,80710,20293,51147,18657,51266,14783,48836,6329,31802,1053,9608,7,496,0,0,0,0
2호선,신림,365,30,43519,5806,83651,24498,244517,40504,349108,68449,218399,61640,122641,58303,104840,63732,109382,69267,106330,80340,95276,86923,92351,106104,100500,124760,110196,164765,116916,264972,84134,278612,68370,178540,66069,169985,61540,169733,35347,116829,5765,34995,39,1659,0,0,0,0
2호선,신대방,149,9,26848,2390,39900,11004,103893,20134,141941,38880,95344,26823,55955,23646,45985,24257,45950,25866,43756,30912,38011,34519,35499,44514,39526,51574,41279,68776,50915,96092,31325,94639,22567,64934,18154,70120,13858,72482,7035,45262,1242,12154,10,625,0,0,0,0
2호선,구로디지털단지,157,9,45284,5354,57442,23888,158647,74641,202795,265588,139089,168131,86637,68771,78217,58797,83352,59734,85289,75599,76123,79814,78347,82956,93703,94810,127653,127905,244886,178617,139230,167030,86908,109999,77168,112261,61714,113365,30840,70287,4553,19602,24,853,0,0,0,0
2호선,대림(구로구청),374,23,39595,3780,34910,13632,81233,24871,107771,69413,80850,46616,52118,42185,44855,45832,46933,42692,48607,45577,43574,45292,43736,52527,47954,58708,55264,78448,72462,88431,41422,73694,30207,51672,25278,63448,18609,65273,9497,35105,1340,9089,17,490,0,0,0,0
2호선,신도림,3050,9,41206,6000,56325,24690,157794,47193,163950,133990,111430,92783,79016,86627,78393,82470,89067,91429,95574,93516,94679,88466,99374,96086,107895,108960,124541,136762,164738,195535,106350,171585,91084,101575,92719,93077,72677,95508,29821,71226,3417,32034,21,3067,0,0,0,0
2호선,문래,7,0,4072,2604,12936,12848,47900,32901,49628,115718,30250,59462,23750,25705,24059,23404,26302,24892,28519,25956,27569,25407,29205,26245,32779,28577,48810,33032,97595,50059,43913,44586,27290,26643,27051,23552,22010,22087,9799,14754,1620,4832,6,204,0,0,0,0
2호선,영등포구청,43,0,6252,3059,14674,14919,47028,35351,51718,124036,35331,57202,27829,29417,29205,26591,30599,27903,32302,31030,31126,30287,33832,30093,41106,33197,51530,39660,105572,57667,43537,47360,31169,28382,31595,26442,25464,25592,10316,17303,1667,6328,6,327,0,0,0,0
2호선,당산,21,3,7270,4267,20995,16215,58243,33265,77515,88622,50896,44284,35798,24092,34119,24440,33369,26417,33195,29622,29200,29722,30495,33638,35069,40142,49590,52444,72207,79482,39547,66633,25619,44423,25800,43669,22261,42840,11997,28232,1852,7721,10,492,0,0,0,0
